title,country,date_added,platform,startYear,averageRating,numVotes,media,Action,Comedy,Drama,Horror,Romance,Sci.Fi,Thriller,budget,revenue
10 Things I Hate About You,United States,"November 12, 2019",disney,1999,7.3,340409,Movie,0,1,1,0,1,0,0,16000000,53478166
The Rescuers Down Under,United States,"November 12, 2019",disney,1990,6.8,43317,Movie,0,1,0,0,0,0,0,37931000,47431461
Cheetah,United States,"November 12, 2019",disney,1989,5.9,1085,Movie,0,0,1,0,0,0,0,5000000,8153677
The Adventures of Huck Finn,United States,"November 12, 2019",disney,1993,6.2,8691,Movie,0,1,1,0,0,0,0,6500000,36825573.894031845
X-Men: Dark Phoenix,United States,"September 3, 2021",disney,2019,5.7,186385,Movie,1,0,0,0,0,1,0,140216712.00626507,364765322.84826994
Mary Poppins Returns,United States,"January 15, 2021",disney,2018,6.7,88175,Movie,0,1,0,0,0,0,0,114116912.65292491,306882488.14324236
The Ghost and Molly McGee,United States,"October 6, 2021",disney,2021,7.3,1078,TV Show,0,1,0,0,0,0,0,NA,NA
Gnomeo & Juliet,United Kingdom,"March 26, 2021",disney,2011,5.9,56261,Movie,0,1,0,0,0,0,0,36000000,189712432
Atlantis: The Lost Empire,United States,"November 12, 2019",disney,2001,6.9,120159,Movie,1,0,0,0,0,0,0,120000000,186053725
Geek Charming,United States,"November 12, 2019",disney,2011,6.3,12739,Movie,0,1,1,0,0,0,0,15189783.865971196,30026600.23773699
Muppets Most Wanted,United States,"November 12, 2019",disney,2014,6.4,34829,Movie,0,1,0,0,0,0,0,50000000,80383290
Winnie the Pooh,United States,"November 12, 2019",disney,2011,7.1,25462,Movie,0,1,0,0,0,0,0,30000000,14460000
College Road Trip,United States,"November 12, 2019",disney,2008,4.3,16176,Movie,0,1,1,0,0,0,0,25634111.23417165,68397662
The Jungle Book,United Kingdom,"June 19, 2020",disney,2016,7.4,277160,Movie,0,0,1,0,0,0,0,175000000,966550600
Zapped,Canada,"November 12, 2019",disney,2014,5,5538,Movie,0,1,0,0,0,0,0,13173958.757345157,30065691.07368978
Prep & Landing: Naughty vs. Nice,United States,"November 6, 2020",disney,2011,7.3,1910,Movie,0,1,0,0,0,0,0,61711729.06608068,162598465.19440836
Can of Worms,United States,"November 12, 2019",disney,1999,4.9,1088,Movie,0,1,0,0,0,1,0,34249857.489607245,64987796.502271935
The Lizzie McGuire Movie,United States,"November 12, 2019",disney,2003,5.5,39904,Movie,0,1,0,0,0,0,0,17000000,55534455
Lady and the Tramp,United States,"November 12, 2019",disney,2019,6.2,21891,Movie,0,1,0,0,0,0,0,40944930.5527087,94543381.22861171
WandaVision,United States,"January 15, 2021",disney,2021,7.9,317064,TV Show,1,1,1,0,0,0,0,NA,NA
All in a Nutshell,United States,"April 3, 2020",disney,1949,7.3,1135,Movie,0,1,0,0,0,0,0,9797990.997320013,104748353.01483682
Home Alone,United States,"November 13, 2020",disney,1990,7.7,562548,Movie,0,1,0,0,0,0,0,18000000,476684675
The Even Stevens Movie,United States,"November 12, 2019",disney,2003,6.1,7106,Movie,0,1,0,0,0,0,0,20893751.35178686,48640117.57891099
Those Calloways,United States,"October 1, 2019",disney,1965,6.6,751,Movie,0,0,1,0,0,0,0,8474167.26760179,33686706.09177849
Don's Fountain of Youth,United States,"April 3, 2020",disney,1953,7,827,Movie,0,1,0,0,0,0,0,7450137.16355611,72539455.34572342
102 Dalmatians,United States,"November 12, 2019",disney,2000,4.8,37716,Movie,0,1,0,0,0,0,0,85000000,183611771
X-Men: Apocalypse,United States,"July 17, 2020",disney,2016,6.9,433215,Movie,1,0,0,0,0,1,0,178000000,543934787
Y: The Last Man,NA,"September 13, 2021",hulu,2021,6,14514,TV Show,1,0,1,0,0,0,0,NA,NA
Good Deeds,United States,"July 27, 2020",hulu,2012,5.6,7976,Movie,0,1,1,0,1,0,0,9141703.833795179,13742786.771936504
Gravity,NA,"March 16, 2020",hulu,2010,6.5,1016,TV Show,0,1,1,0,0,0,0,NA,NA
Destroyer,United States,"April 9, 2019",hulu,2018,6.2,29791,Movie,1,0,1,0,0,0,0,14816266.806059094,19933040.931163743
Bless This Mess,United States,"February 24, 2020",hulu,2019,6.8,4174,TV Show,0,1,0,0,0,0,0,NA,NA
Saved by the Bell: The College Years,United States,"January 17, 2016",hulu,1993,6.3,4989,TV Show,0,1,0,0,1,0,0,NA,NA
The Deceived,NA,"July 18, 2021",hulu,2020,5.8,1554,TV Show,0,0,1,0,0,0,1,NA,NA
Election,NA,"September 1, 2021",hulu,1999,7.3,97648,Movie,0,1,0,0,1,0,0,26971809.538307127,80484566.0849379
Angel,United States,NA,hulu,1999,7.9,70709,TV Show,1,0,1,0,0,0,0,NA,NA
The Night,NA,"April 30, 2021",hulu,2020,5.5,2900,Movie,0,0,0,1,0,0,1,8913460.574857777,21720135.007416133
"Sister, Sister",United States,"February 9, 2021",hulu,1994,6.3,12816,TV Show,0,1,1,0,0,0,0,NA,NA
Ben Is Back,United States,"May 20, 2019",hulu,2018,6.7,22070,Movie,0,0,1,0,0,0,0,11694036.862491325,11780877.309306411
Young Adult,United States,"June 1, 2021",hulu,2011,6.3,84562,Movie,0,1,1,0,0,0,0,12000000,22939027
Scott & Bailey,United Kingdom,"November 15, 2016",hulu,2011,8,9160,TV Show,0,0,1,0,0,0,0,NA,NA
Fairy gone,Japan,"May 7, 2019",hulu,2019,5.8,365,TV Show,1,0,0,0,0,0,0,NA,NA
About Endlessness,NA,"September 2, 2021",hulu,2019,6.8,6585,Movie,0,0,1,0,0,0,0,8048048.921558615,6628990.517159317
Ghost Whisperer,United States,"April 17, 2014",hulu,2005,6.4,46580,TV Show,0,0,1,0,0,0,0,NA,NA
Designing Women,United States,"August 26, 2019",hulu,1986,7.2,6096,TV Show,0,1,0,0,0,0,0,NA,NA
Judy,NA,"September 25, 2020",hulu,2019,6.8,50739,Movie,0,0,1,0,1,0,0,16433639.329686342,20520021.612131316
Smallville,United States,"October 1, 2016",hulu,2001,7.5,127595,TV Show,1,0,1,0,0,0,0,NA,NA
Signs,Poland,"October 1, 2021",hulu,2002,6.8,362909,Movie,0,0,1,0,0,1,0,72000000,408247917
I Still Believe,United States,"May 26, 2020",hulu,2020,6.4,12132,Movie,0,0,1,0,0,0,0,11210600.403912049,18448271.808699694
Avenues,United States,"November 1, 2020",hulu,2017,6,195,Movie,0,1,1,0,0,0,0,7072576.627370485,9066965.389950218
Inuyasha,Japan,"September 29, 2009",hulu,2000,7.9,16434,TV Show,1,0,0,0,0,0,0,NA,NA
Celeste & Jesse Forever,NA,"October 20, 2020",hulu,2012,6.6,31796,Movie,0,1,1,0,1,0,0,10191564.498073025,3094813
Breakup at a Wedding,United States,"June 15, 2018",hulu,2013,5.1,245,Movie,0,1,0,0,0,0,0,6957872.515652539,14872922.002729923
Mike Tyson Mysteries,United States,"September 1, 2020",hulu,2014,8.2,4996,TV Show,0,1,0,0,0,0,0,NA,NA
Dark Was the Night,United States,"December 31, 2019",hulu,2014,5.6,10418,Movie,0,0,1,1,0,0,1,9030932.363150084,13531064.030312844
The Warrior Queen of Jhansi,NA,"February 16, 2021",hulu,2019,4.7,646,Movie,1,0,1,0,0,0,0,20872224.215738542,66515260.284299664
Making It,United States,"December 3, 2019",hulu,2018,7.9,1554,TV Show,0,1,0,0,0,0,0,NA,NA
Tonight You're Mine,United Kingdom,"November 11, 2020",hulu,2011,6.5,4672,Movie,0,1,1,0,0,0,0,9239321.023923304,18427771.018015616
Total Recall,United States,"October 1, 2021",hulu,2012,6.2,254866,Movie,1,0,0,0,0,1,0,125000000,198802074
Danganronpa: The Animation,Japan,"July 12, 2013",hulu,2013,6.8,2605,TV Show,1,0,0,0,0,0,0,NA,NA
Descendants of the Sun,South Korea,"April 8, 2016",hulu,2016,8.3,16174,TV Show,1,1,1,0,0,0,0,NA,NA
'71,United Kingdom,"August 1, 2020",hulu,2014,7.2,56561,Movie,1,0,1,0,0,0,0,12446257.858269205,1625847
Death in Texas,NA,"September 2, 2021",hulu,2020,5.6,616,Movie,1,0,1,0,0,0,0,9954544.017045189,20471806.493433516
The Unit,NA,"December 1, 2017",hulu,2006,8,21989,TV Show,1,0,1,0,0,0,1,NA,NA
Mad Max,Australia,"October 1, 2021",hulu,1979,6.8,207756,Movie,1,0,0,0,0,1,0,400000,100000000
Urn,United Kingdom,"October 1, 2018",hulu,2018,4.8,142,Movie,0,0,0,1,0,0,0,6251926.20899989,12908908.420499425
Superstore,United States,"October 30, 2020",hulu,2015,7.8,57266,TV Show,0,1,0,0,0,0,0,NA,NA
The Mandela Effect,United States,"May 20, 2020",hulu,2019,5.8,3729,Movie,0,0,1,0,0,1,1,11715252.78677784,21220998.59575212
A Kind of Murder,United States,"April 20, 2020",hulu,2016,5.3,7953,Movie,0,0,1,0,0,0,1,8734635.324233998,7528327.497033149
S.W.A.T.,United States,"September 25, 2020",hulu,2017,7.1,23505,TV Show,1,0,0,0,0,0,0,NA,NA
All About Nina,United States,"September 15, 2021",hulu,2018,6.2,2869,Movie,0,0,1,0,0,0,0,9568311.1957478,5916671.350356041
Black Butler: Book of Circus,Japan,NA,hulu,2014,8.2,1915,TV Show,0,1,0,0,0,0,0,NA,NA
The Dustwalker,Australia,"June 14, 2020",hulu,2019,3.8,1539,Movie,0,0,1,0,0,1,1,11275747.861030784,27918759.195537943
28 Weeks Later,NA,"July 1, 2021",hulu,2007,6.9,276443,Movie,1,0,0,1,0,0,0,15000000,64238440
Black Lagoon,Japan,"September 5, 2017",hulu,2006,7.9,15200,TV Show,1,0,0,0,0,0,0,NA,NA
Little Monsters,Australia,"October 11, 2019",hulu,2019,6.3,17519,Movie,0,1,0,1,0,1,0,10856432.317976175,28637344.25693344
Rage of Bahamut: Genesis,Japan,"October 13, 2014",hulu,2014,7.3,1517,TV Show,1,0,0,0,0,0,0,NA,NA
Diary of a Wimpy Kid: Rodrick Rules,United States,"October 1, 2021",hulu,2011,6.5,31837,Movie,0,1,0,0,0,0,0,21000000,72417394
The Artist,France,"July 26, 2021",hulu,2011,7.9,241455,Movie,0,1,1,0,1,0,0,15000000,133432856
Inherit the Viper,NA,"September 29, 2020",hulu,2019,5.2,1586,Movie,0,0,0,0,0,0,1,7155453.676437576,13724842.561714116
Sabrina Down Under,United States,"April 25, 2014",hulu,1999,5.7,211,Movie,0,1,0,0,0,0,0,27938713.92450071,63468535.186421245
Harvie and the Magic Museum,NA,"June 29, 2021",hulu,2017,4.1,290,Movie,0,1,0,0,0,0,0,45900981.203295454,120317340.74951217
Daphne,United Kingdom,"November 1, 2020",hulu,2017,6.1,1938,Movie,0,1,1,0,0,0,0,7505781.088861903,8681952.46481028
Toy Soldiers,NA,"August 1, 2021",hulu,1991,6.6,23262,Movie,1,0,1,0,0,0,1,19802177.117366828,15073942
The Librarians,United States,"July 1, 2018",hulu,2014,7.2,22525,TV Show,1,1,0,0,0,0,0,NA,NA
This Is Us,United States,"October 28, 2020",hulu,2016,8.7,142685,TV Show,0,1,1,0,1,0,0,NA,NA
Gungrave,Japan,"September 5, 2017",hulu,2003,7.9,4934,TV Show,1,0,0,0,0,0,0,NA,NA
Snoopy Come Home,United States,"April 25, 2014",hulu,1972,7.4,4755,Movie,0,1,0,0,0,0,0,17419833.31585077,105656861.59611082
Vantage Point,United States,"September 1, 2021",hulu,2008,6.6,150665,Movie,1,0,1,0,0,0,0,40000000,151161491
Mud,United States,"August 1, 2021",hulu,2012,7.4,179806,Movie,0,0,1,0,0,0,0,10000000,21587700
Shrek 2,NA,"April 1, 2021",hulu,2004,7.3,460723,Movie,0,1,0,0,0,0,0,150000000,919838758
Devs,United Kingdom,"March 5, 2020",hulu,2020,7.7,39095,TV Show,0,0,1,0,0,1,0,NA,NA
Luis and the Aliens,Germany,"November 15, 2018",hulu,2018,6,2631,Movie,0,1,0,0,0,0,0,37629704.120131515,93352779.6238921
The Clovehitch Killer,United States,"May 4, 2019",hulu,2018,6.5,28185,Movie,0,0,1,0,0,0,0,17074176.26011388,16418337.485390948
Running with the Devil,Colombia,"December 30, 2019",hulu,2019,5.4,8384,Movie,0,0,1,0,0,0,1,8995763.604161644,8008625.663898177
Force Majeure,Sweden,"April 8, 2020",hulu,2014,7.2,55614,Movie,0,1,1,0,0,0,0,8174412.672891825,1359497
Solace,NA,"September 1, 2021",hulu,2015,6.4,62491,Movie,0,0,1,0,0,0,0,21202516.487375803,22586863
The Affair,NA,"August 25, 2019",hulu,2014,7.9,45718,TV Show,0,0,1,0,0,0,0,NA,NA
Witches of Salem,NA,"February 15, 2021",hulu,2019,7,153,TV Show,0,0,1,0,0,0,0,NA,NA
Don't Go,Ireland,"April 24, 2019",hulu,2018,5.2,1613,Movie,0,0,0,0,0,0,1,7147463.540177836,13724842.561714116
The Snow Queen 3: Fire and Ice,Russia,"December 15, 2018",hulu,2016,6,2251,Movie,0,1,0,0,0,0,0,35924209.33260053,91118126.01160575
A Hologram for the King,NA,"April 1, 2021",hulu,2016,6.1,44949,Movie,0,1,1,0,1,0,0,30000000,4212494
Helstrom,NA,"October 16, 2020",hulu,2020,6.7,8917,TV Show,1,0,1,0,0,0,0,NA,NA
Angel of Mine,Australia,"February 6, 2020",hulu,2019,6.4,11011,Movie,0,0,1,0,0,0,1,11216616.107012365,12732259.31756891
Hellions,NA,"July 1, 2021",hulu,2015,4.2,3334,Movie,0,0,1,1,0,0,1,9103357.039001647,17009448.33673762
Pieta,NA,"July 15, 2021",hulu,2012,7.1,14787,Movie,0,0,1,0,0,0,1,103000,3623330
Road to Perdition,NA,"September 1, 2021",hulu,2002,7.7,267965,Movie,0,0,1,0,0,0,1,80000000,181001478
Stardust,United Kingdom,"February 24, 2021",hulu,2020,4.4,1950,Movie,0,0,1,0,0,0,0,9814536.363381857,18293586.802022688
Free Willy 3: The Rescue,NA,"September 1, 2021",hulu,1997,4.7,10249,Movie,0,0,1,0,0,0,0,25853444.45962237,54526943.49470767
The Last Word,United States,"July 2, 2019",hulu,2017,6.6,8283,Movie,0,1,1,0,0,0,0,8790930.845883438,1783421
Heavy Object,Japan,"October 9, 2015",hulu,2015,6.4,185,TV Show,1,1,0,0,0,0,0,NA,NA
90 Day Fiancé,United States,"October 1, 2020",hulu,2014,6.4,2116,TV Show,0,0,0,0,1,0,0,NA,NA
Letterkenny,Canada,"December 26, 2020",hulu,2016,8.7,22830,TV Show,0,1,0,0,0,0,0,NA,NA
Held,NA,"August 12, 2021",hulu,2020,5.3,2357,Movie,0,0,0,1,0,0,1,8834568.581912333,21676092.483464103
Erased,Japan,"January 31, 2020",hulu,2016,8.5,46600,TV Show,0,0,1,0,0,0,0,NA,NA
I Am Alone,United States,"May 1, 2020",hulu,2015,4.5,343,Movie,0,0,1,1,0,1,0,11337902.655053519,15334220.960111488
Another Time,United States,"March 15, 2021",hulu,2018,4.5,945,Movie,0,1,0,0,1,0,0,22284753.121551637,53486085.807261854
Top End Wedding,Australia,"May 22, 2020",hulu,2019,6.3,2148,Movie,0,1,0,0,1,0,0,9108807.144041963,16319663.675921535
The Kid,United States,"December 18, 2019",hulu,2019,5.9,8644,Movie,0,0,1,0,0,0,0,10986291.300471794,14850490.226607969
Star Trek II: The Wrath of Khan,United States,"October 1, 2021",hulu,1982,7.7,121969,Movie,1,0,0,0,0,1,0,12000000,96800000
The Man Who Killed Don Quixote,NA,"March 15, 2021",hulu,2018,6.3,20019,Movie,0,1,1,0,0,0,0,23695001.464104958,54899803.72333897
Hitman: Agent 47,United States,"September 15, 2021",hulu,2015,5.7,91484,Movie,1,0,0,0,0,0,1,35000000,81967450
Angels & Demons,United States,"December 1, 2020",hulu,2009,6.7,293195,Movie,1,0,0,0,0,0,1,150000000,356613439
All Night,United States,"May 11, 2018",hulu,2018,5.9,626,TV Show,0,1,0,0,0,0,0,NA,NA
Step Dogs,Canada,"December 31, 2019",hulu,2013,4.5,546,Movie,0,1,0,0,0,0,0,11500773.44104313,25650598.85855343
The Possession,NA,"September 1, 2021",hulu,2012,5.9,60509,Movie,0,0,0,1,0,0,1,14000000,85446075
Hollow Man,United States,"November 1, 2020",hulu,2000,5.8,131904,Movie,1,0,0,1,0,1,0,95000000,190213455
21,United States,"August 1, 2021",hulu,2008,6.8,251762,Movie,0,0,1,0,0,0,0,35000000,69823199
The Assault,United States,"November 3, 2020",hulu,2017,3.5,276,Movie,1,0,0,0,0,0,1,13044935.905481867,47157005.903948955
Witches of East End,United States,"May 11, 2018",hulu,2013,7.5,26243,TV Show,0,0,1,1,0,0,0,NA,NA
Graduation,NA,"July 1, 2021",hulu,2016,7.3,13791,Movie,0,0,1,0,0,0,0,2000000,343617
Medium,United States,NA,hulu,2005,7.1,28520,TV Show,0,0,1,0,0,0,0,NA,NA
Cherry Pop,United States,"February 1, 2020",hulu,2017,4.5,1519,Movie,0,1,0,0,0,0,0,10285515.930440132,24850630.518802166
Light as a Feather,United States,"July 26, 2019",hulu,2018,6.5,3631,TV Show,0,0,1,1,0,0,0,NA,NA
The Mountain Between Us,NA,"May 15, 2021",hulu,2017,6.4,75612,Movie,0,0,1,0,0,0,1,17367765.62518437,24218327.06375526
The Guardian,United States,"November 6, 2015",hulu,2001,7.4,5350,TV Show,0,0,1,0,0,0,0,NA,NA
Doc Martin,United Kingdom,"September 29, 2017",hulu,2004,8.4,16263,TV Show,0,1,1,0,1,0,0,NA,NA
Two of Us,NA,"June 10, 2021",hulu,2019,7.2,3019,Movie,0,0,1,0,1,0,0,6965141.807275125,11292579.951675622
The Courier,United Kingdom,"August 31, 2020",hulu,2019,4.8,11406,Movie,1,0,1,0,0,0,0,12888176.291254805,22216716.806993917
The Prince of Tennis,Japan,"December 21, 2009",hulu,2001,7.4,807,TV Show,1,1,0,0,0,0,0,NA,NA
Scandal,United States,"May 20, 2020",hulu,2012,7.7,73787,TV Show,0,0,1,0,0,0,1,NA,NA
Miss You Already,NA,"September 1, 2021",hulu,2015,6.8,18957,Movie,0,1,1,0,1,0,0,6982301.578582183,11307487.54063561
Chance,United States,"October 11, 2017",hulu,2016,7.6,10199,TV Show,0,0,1,0,0,0,1,NA,NA
Knives and Skin,United States,"March 6, 2020",hulu,2019,5.2,970,Movie,0,0,1,0,0,0,1,9191764.167350447,10724108.865324525
The Resort,NA,"July 29, 2021",hulu,2021,3.1,2974,Movie,0,0,0,1,0,0,0,8869253.271479592,18981856.797631145
The Kids Are Alright,United States,"August 5, 2020",hulu,2018,7.9,3461,TV Show,0,1,0,0,0,0,0,NA,NA
Rocketman,United Kingdom,"May 22, 2020",hulu,2019,7.3,174477,Movie,0,0,1,0,0,0,0,29032314.53950555,88009913.80462262
In a World...,NA,"July 9, 2021",hulu,2013,6.7,32144,Movie,0,1,0,0,0,0,0,1000000,2963902
Into the Ashes,United States,"December 31, 2019",hulu,2019,5.2,4853,Movie,0,0,1,0,0,0,1,8256878.000276107,7462293.210566673
The Houses October Built,United States,"December 31, 2019",hulu,2014,5.1,9705,Movie,0,0,0,1,0,0,1,8273554.894743316,14778256.65724577
Sweet Home Sextuplets,United States,"June 17, 2020",hulu,2018,7.6,93,TV Show,0,0,1,0,0,0,0,NA,NA
Fate/stay night [Unlimited Blade Works],Japan,"January 31, 2020",hulu,2014,8,7928,TV Show,1,0,0,0,0,0,0,NA,NA
Sleepwalker,United States,"October 15, 2021",hulu,2017,5.1,1115,Movie,0,0,0,0,0,0,1,7251450.280710592,14312058.19448555
Ana,NA,"July 17, 2020",hulu,2020,9.6,5,Movie,0,0,1,0,0,0,0,20830492.828996688,113521799.9771794
God's Own Country,United Kingdom,"December 5, 2020",hulu,2017,7.6,31155,Movie,0,0,1,0,1,0,0,8347609.992500709,19296805.1258051
Silk Road,NA,"July 2, 2021",hulu,2021,6,5704,Movie,0,0,1,0,0,0,1,7135783.413008437,8127973.168069169
Parasite,South Korea,"April 8, 2020",hulu,2019,7.5,7,Movie,0,0,0,1,0,0,1,6721246.015832997,28179667.028329488
Within,NA,"October 1, 2021",hulu,2016,6.4,8,Movie,0,0,0,0,0,0,1,6840493.248720266,11352976.616408562
The Day I Became a God,NA,"November 9, 2020",hulu,2020,6.6,635,TV Show,0,0,1,0,0,0,0,NA,NA
The Numbers Station,United Kingdom,"December 31, 2019",hulu,2013,5.6,20211,Movie,1,0,0,0,0,0,1,10000000,36254880.85850275
Frankenstein and the Monster from Hell,United Kingdom,"July 1, 2021",hulu,1974,6.2,3972,Movie,0,0,0,1,0,1,0,6003021.125279634,21767839.018990055
The Lonely Man,United States,"June 1, 2019",hulu,1957,6.4,804,Movie,0,0,1,0,0,0,0,5760169.03200655,17675895.52284236
Dead Boss,United Kingdom,"May 1, 2016",hulu,2012,6.4,613,TV Show,0,1,0,0,0,0,0,NA,NA
The Terror,United States,"January 13, 2020",hulu,2018,7.9,44875,TV Show,0,0,1,1,0,0,0,NA,NA
Zapped,Canada,"September 28, 2018",hulu,2014,5,5538,Movie,0,1,0,0,0,0,0,13173958.757345157,30065691.07368978
Second Chance,United States,"July 8, 2017",hulu,2016,7.4,12476,TV Show,0,0,1,0,0,1,0,NA,NA
Dueños del Paraíso,NA,"May 10, 2018",hulu,2015,6.7,305,TV Show,1,0,1,0,0,0,0,NA,NA
The Untouchables,NA,"October 1, 2021",hulu,1987,7.9,309091,Movie,0,0,1,0,0,0,1,25000000,76270454
The Aliens,United Kingdom,"September 2, 2016",hulu,2016,6.1,1703,TV Show,0,1,1,0,0,0,0,NA,NA
En otra piel,United States,"August 3, 2018",hulu,2014,8,126,TV Show,0,0,1,0,1,0,0,NA,NA
My Wife and Kids,NA,"July 8, 2021",hulu,2001,6.9,27848,TV Show,0,1,0,0,0,0,0,NA,NA
Internal Affairs,NA,"September 1, 2021",hulu,1990,6.5,20534,Movie,0,0,1,0,0,0,1,15509167.46617188,27734391
Shrek,United States,"January 1, 2021",hulu,2001,7.9,671894,Movie,0,1,0,0,0,0,0,60000000,484409218
Earth to Echo,United States,"October 16, 2020",hulu,2014,5.7,19183,Movie,0,0,0,0,0,1,0,13000000,45300000
Mixed-ish,United States,"January 27, 2021",hulu,2019,6.7,2598,TV Show,0,1,0,0,0,0,0,NA,NA
Step Up Revolution,NA,"April 1, 2021",hulu,2012,6.4,56437,Movie,0,0,1,0,1,0,0,33000000,140470746
No Guns Life,Japan,"August 8, 2020",hulu,2019,6.7,621,TV Show,1,0,0,0,0,1,0,NA,NA
Blade: Trinity,United States,"October 1, 2020",hulu,2004,5.8,178128,Movie,1,0,0,1,0,1,0,65000000,128905366
Twisted,NA,"July 1, 2021",hulu,2004,5.3,22057,Movie,0,0,1,0,0,0,0,50000000,25195000
Freelancers,NA,"August 1, 2021",hulu,2012,4.6,10325,Movie,1,0,1,0,0,0,0,11000000,19527322.258223623
